1 0 321200
1 1 149885
1 2 221243
1 3 340442
2 4 30420
1 5 156488
0 6 11005
0 7 20673
2 8 34088
2 9 24787
0 10 246028
1 11 24822
1 12 57397
0 13 181931
1 14 239465
1 15 517
2 16 35058
0 17 169455
1 18 243441
1 19 307721
1 20 314671
1 21 203128
1 22 952
1 23 23530
1 24 336702
1 25 241518
1 26 19251
2 27 301255
1 28 174683
2 29 145600
2 30 57852
1 31 13889
1 32 232967
1 33 55165
1 34 330
1 35 147960
2 36 303120
2 37 235224
1 38 348306
2 39 257578
1 40 312423
1 41 320564
0 42 11591
1 43 150133
1 44 291002
1 45 294271
0 46 60807
1 47 22410
1 48 344709
2 49 183101
0 50 36773
1 51 225192
1 52 38843
1 53 346895
2 54 160702
1 55 236298
1 56 58479
1 57 242845
1 58 333843
1 59 324557
1 60 305460
1 61 307545
2 62 241611
1 63 287826
2 64 342384
2 65 240432
1 66 17883
0 67 171598
1 68 202032
1 69 309885
1 70 307273
0 71 175504
1 72 300765
1 73 147835
1 74 14875
0 75 178631
1 76 314615
1 77 17957
1 78 159996
1 79 291695
1 80 294247
0 81 26559
0 82 24768
1 83 235150
0 84 19365
2 85 146887
1 86 235004
1 87 16804
1 88 10006
1 89 236330
1 90 23154
1 91 148836
1 92 334642
1 93 307088
1 94 4047
1 95 334703
1 96 333708
1 97 17882
0 98 343548
1 99 223825
1 100 244084
1 101 37581
0 102 17096
2 103 298775
1 104 147719
1 105 231821
1 106 233686
1 107 345428
0 108 29717
1 109 291040
1 110 241609
1 111 18356
1 112 20968
1 113 165352
1 114 164802
1 115 223696
1 116 40603
1 117 174021
1 118 290687
1 119 148472
2 120 302329
1 121 11241
1 122 344122
1 123 289218
1 124 285901
2 125 30559
1 126 241660
1 127 248064
1 128 232740
1 129 344822
1 130 161262
1 131 299098
1 132 231754
1 133 23528
2 134 180851
1 135 243715
2 136 34969
1 137 161771
0 138 27706
1 139 299691
0 140 19698
1 141 349103
1 142 298925
1 143 231077
1 144 147730
1 145 335042
1 146 313897
1 147 327177
1 148 47234
1 149 23148
2 150 29083
1 151 222116
1 152 202497
1 153 344331
1 154 293445
1 155 343082
1 156 334938
1 157 221047
1 158 29872
1 159 226484
1 160 178544
1 161 17796
1 162 42820
2 163 146546
0 164 244228
1 165 304312
1 166 29248
1 167 32974
1 168 16728
0 169 9960
1 170 29780
1 171 334481
1 172 287104
1 173 299902
0 174 148363
1 175 37691
1 176 148373
1 177 204266
1 178 20871
0 179 243279
1 180 320408
1 181 25272
1 182 11578
0 183 340026
1 184 330720
1 185 9999
1 186 162568
1 187 225510
1 188 240054
1 189 31813
1 190 233209
1 191 41777
1 192 226592
1 193 307311
1 194 348260
1 195 225578
0 196 158416
0 197 150302
1 198 346433
0 199 20453
1 200 335725
1 201 179780
0 202 32873
1 203 203876
1 204 147659
1 205 150845
1 206 15211
